Company,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
Royal Enfield,Royal Enfield Classic 350 BS VI,2022,200000,Yes,"Bannerghatta Road, Bangalore", Karnataka
Royal Enfield,Royal Enfield Hunter 350 Metro,2023,170000,Yes,Lucknow, Uttar Pradesh
Bajaj,Bajaj Pulsar N250 2024,2024,140000,Yes,Bangalore, Karnataka
Royal Enfield,Royal Enfield Bullet 350,2015,80000,Yes,"Jayanagar, Bangalore", Karnataka
Yamaha,Yamaha FZ-S,2014,35000,Yes,Chennai, Tamil Nadu
KTM,KTM Duke 390,2018,150000,Yes,"Secunderabad, Hyderabad", Telangana
Hero,Hero Super Splendor Canvas Black Edition,2022,60000,Yes,Panipat, Haryana
Hero,Hero Super Splendor XTEC,2023,85000,Yes,Bangalore, Karnataka
Jawa,Jawa forty two,2020,100000,Yes,"Noida, Gautam Buddha Nagar", Uttar Pradesh
Bajaj,Bajaj Avenger Street 160,2024,90000,Yes,Mysore, Karnataka
Yamaha,Yamaha Cygnus Ray ZR,2018,45000,Yes,Jamshedpur, Jharkhand
Yamaha,Yamaha FZ-S,2013,20000,Yes,Gurgaon, Haryana
Royal Enfield,Royal Enfield Classic Stealth Black,2020,150000,Yes,"Anna Nagar, Chennai", Tamil Nadu
Honda,Honda CBR 150R,2014,36000,Yes,Pune, Maharashtra
TVS,TVS Sport BS6,2024,55000,Yes,North East Delhi, Delhi
Yamaha,Yamaha R15 V4,2022,140000,Yes,"Ambattur, Chennai", Tamil Nadu
Royal Enfield,Royal Enfield Bullet Electra,2005,35000,Yes,Ahmedabad, Gujarat
Hero,Hero Xtreme Sports,2016,25000,Yes,Noida, Uttar Pradesh
KTM,KTM RC 390,2016,140000,Yes,"Bhopani, Faridabad", Haryana
Ola,Ola S1 Pro,2022,75000,Yes,Faridabad, Haryana
Ola,Ola S1 Air 3kWh,2023,65000,Yes,"Krishnanagar, Nadia", West Bengal
Royal Enfield,Royal Enfield Classic 350 Dual Channel BS6,2022,190000,Yes,Ballia, Uttar Pradesh
TVS,TVS Apache RTR 200 4V ABS,2020,65000,Yes,"Marathahalli, Bangalore", Karnataka
Bajaj,Bajaj Dominar 400,2017,120000,Yes,Begusarai, Bihar
Yamaha,Yamaha FZ FI V3 BS6,2020,65000,Yes,"Jolarpet, Tirupattur", Tamil Nadu
Hero,Hero Passion Plus,2010,20000,Yes,"Poonamallee, Tiruvallur", Tamil Nadu
KTM,KTM Duke 250 2022,2022,190000,Yes,Gurgaon, Haryana
Bajaj,Bajaj Freedom 125 NG04 Drum LED,2024,105000,Yes,Bangalore, Karnataka
Bajaj,Bajaj Pulsar N160,2023,70000,Yes,Lucknow, Uttar Pradesh
Husqvarna,Husqvarna Svartpilen 250,2021,138000,Yes,Guwahati, Assam
Hero,Hero Hunk,2011,30000,Yes,Hyderabad, Telangana
Royal Enfield,Royal Enfield Classic Gunmetal Grey,2020,159999,Yes,Allahabad, Uttar Pradesh
Royal Enfield,Royal Enfield Interceptor 650 Twin,2020,240000,Yes,Patna, Bihar
Hero,Hero Xpulse 200 4V,2022,120000,Yes,Faridabad, Haryana
Honda,Honda Hness CB350 DLX Pro,2020,135000,Yes,Hyderabad, Telangana
Suzuki,Suzuki Gixxer SF 250 BS6,2023,160000,Yes,Pune, Maharashtra
TVS,TVS NTORQ 125 Race Edition BS6,2022,75000,Yes,Bangalore, Karnataka
KOMAKI,KOMAKI Flora,2024,55000,Yes,"Secunderabad, Hyderabad", Telangana
Royal Enfield,Royal Enfield Meteor 350,2020,160000,Yes,Hyderabad, Telangana
Bajaj,Bajaj Pulsar NS 160,2020,78600,Yes,Aurangabad, Maharashtra
Hero,Hero Electric Optima CX2.0,2022,55000,Yes,Kolkata, West Bengal
Honda,Honda Activa 6G H-smart,2024,90000,Yes,"Velachery, Chennai", Tamil Nadu
Royal Enfield,Royal Enfield Thunderbird 500,2015,100000,Yes,Hyderabad, Telangana
BMW,BMW G 310 R,2020,211000,Yes,"Bandra West, Mumbai", Maharashtra
Royal Enfield,Royal Enfield Meteor 350 Fireball,2022,210000,Yes,Bangalore, Karnataka
Royal Enfield,Royal Enfield Classic 350,2017,140999,Yes,Jammu, Jammu Kashmir
Bajaj,Bajaj Avenger 200 DTS-i,2013,21777,Yes,Surat, Gujarat
Vespa,Vespa VXL 125,2015,35000,Yes,Pune, Maharashtra
Royal Enfield,Royal Enfield Classic Signals Stormrider Sand,2020,190000,Yes,"Lakhna, Etawah", Uttar Pradesh
Yezdi,Yezdi Roadster Dark,2022,160000,Yes,Bilaspur, Himachal Pradesh
